id,createdDate,modifiedDate,isActive,type,company,firstName,lastName,jobTitle,email,website,phone,fax,mobile,address1,address2,city,state,postCode,country,postalAddress1,postalAddress2,postalCity,postalPostCode,postalState,postalCountry,notes,integrationRef,salesPersonId,accountNumber,billingId,billingCompany,accountsFirstName,accountsLastName,billingEmail,accountsPhone,billingCostCenter,priceColumn,creditLimit,balanceOwing,group,subGroup
28,2023-04-14T15:00:24Z,2023-04-14T15:00:24Z,True,Customer,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
27,2023-04-14T14:57:13Z,2023-04-14T14:57:13Z,True,Customer,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
26,2023-04-14T14:56:48Z,2023-04-14T14:56:48Z,True,Customer,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
25,2023-04-14T14:56:19Z,2023-04-14T14:56:19Z,True,Customer,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
24,2023-04-14T14:55:43Z,2023-04-14T14:55:43Z,True,Customer,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
23,2023-04-14T14:54:27Z,2023-04-14T14:54:27Z,True,Customer,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
22,2023-04-14T14:50:14Z,2023-04-14T14:50:14Z,True,Supplier,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,Česko,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
21,2023-04-14T14:49:47Z,2023-04-14T14:49:47Z,True,Supplier,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,Česko,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
20,2023-04-14T14:46:20Z,2023-04-14T14:46:20Z,True,Supplier,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,Česko,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
19,2023-04-14T14:45:42Z,2023-04-14T14:45:42Z,True,Supplier,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,Česko,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
18,2023-04-14T14:44:49Z,2023-04-14T14:44:49Z,True,Supplier,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,Česko,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
17,2023-04-14T14:38:41Z,2023-04-14T14:38:41Z,True,Supplier,Kulicka Tomas Marny,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
16,2022-09-26T11:39:18Z,2022-09-26T11:39:18Z,True,Customer,mana,mana,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
15,2022-09-26T11:36:54Z,2022-09-26T11:36:54Z,True,Customer,no-name,pavel,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
14,2022-09-26T11:35:36Z,2022-09-26T11:35:36Z,True,Customer,test,karal,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
13,2022-09-19T21:07:09Z,2022-09-19T21:07:09Z,True,Customer,fulfil,Fulfil,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
12,2022-05-09T14:48:58Z,2022-05-09T14:48:58Z,True,Customer,nevim,mana,bohata,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
11,2022-05-09T14:47:38Z,2022-05-09T14:47:38Z,True,Customer,mojefirma,karel ,omacka,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
8,2021-04-13T11:26:04Z,2021-04-13T11:26:04Z,True,Supplier,Pruziny s.r.o,Skoc,Dopole,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
7,2021-04-13T11:15:56Z,2021-04-13T11:15:56Z,True,Supplier,Kulicka,Tomas,Marny,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,CostUSD,0.0,0.0,,
6,2021-04-13T11:06:45Z,2021-04-13T11:06:45Z,True,Customer,Frantova,Franta,Lala,,pavel@severyn.cz,,123456789,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
5,2021-04-13T11:02:30Z,2021-04-13T11:02:30Z,True,Customer,Moje,John,Foo,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,RetailUSD,0.0,0.0,,
4,2021-04-13T10:54:48Z,2021-04-13T10:56:59Z,True,Supplier,Kolo s.r.o.,John,Doo,,,,,,,,,,,,,,,,,,,,,73381,,0,,,,,,,WholesaleUSD,0.0,0.0,,
2,2015-03-09T22:36:40Z,2016-03-22T21:04:53Z,True,Supplier,Cash Supplier,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,0.0,0.0,,
1,2015-03-09T22:36:40Z,2015-03-19T23:34:29Z,True,Customer,Cash Customer,,,,,,,,,,,,,,,,,,,,,,,0,,0,Cash Customer,,,,,,,0.0,0.0,,Main Branch
